settlement_id,feature_id,feature_orig,feature_rus,feature_eng,value_orig,value_rus,value_eng,value_comment_rus,value_comment_eng
19,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
20,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
21,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
22,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
23,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
24,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
25,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
26,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
27,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
28,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
29,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
30,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
31,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
32,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
33,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
34,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
35,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
36,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
37,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
38,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
39,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
40,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
41,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
42,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
43,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
44,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
45,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
46,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
47,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
48,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
49,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
50,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
51,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
52,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
53,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
54,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
55,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
56,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
57,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,нет данных,нет данных,no data,,
58,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
59,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
60,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
61,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
62,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
63,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
64,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
65,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
66,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū > ü, ō > ů",[u → ɯ]; [uː → y]; [oː → ɵ],[u → ɯ]; [uː → y]; [oː → ɵ],,
67,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
68,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
69,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,нет данных,нет данных,no data,,
70,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū > ü, ō > ů",[u → ɯ]; [uː → y]; [oː → ɵ],[u → ɯ]; [uː → y]; [oː → ɵ],,
71,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū > ü, ō > ů",[u → ɯ]; [uː → y]; [oː → ɵ],[u → ɯ]; [uː → y]; [oː → ɵ],,
72,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū > ü, ō > ů",[u → ɯ]; [uː → y]; [oː → ɵ],[u → ɯ]; [uː → y]; [oː → ɵ],,
73,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
74,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū > ü, ō > ů",[u → ɯ]; [uː → y]; [oː → ɵ],[u → ɯ]; [uː → y]; [oː → ɵ],,
75,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
76,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
77,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,нет данных,нет данных,no data,,
78,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,нет данных,нет данных,no data,,
79,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,нет данных,нет данных,no data,,
80,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,нет данных,нет данных,no data,,
81,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū > ü, ō > ů",[u → ɯ]; [uː → y]; [oː → ɵ],[u → ɯ]; [uː → y]; [oː → ɵ],,
82,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū > ü, ō > ů",[u → ɯ]; [uː → y]; [oː → ɵ],[u → ɯ]; [uː → y]; [oː → ɵ],,
83,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū > ü, ō > ů",[u → ɯ]; [uː → y]; [oː → ɵ],[u → ɯ]; [uː → y]; [oː → ɵ],,
84,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
85,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
86,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
87,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
88,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
89,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
90,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
91,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
92,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
93,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
94,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
95,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
96,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > ъ, ū + ō > ū",[u → ɯ]; [uː / oː → uː],[u → ɯ]; [uː / oː → uː],,
B,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
L,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
S,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > u, ō > ů",[u / uː → u]; [oː → ɵ],[u / uː → u]; [oː → ɵ],,
1,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
2,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
3,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
4,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
5,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
6,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
7,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
8,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
9,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
10,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
11,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
12,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
13,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
14,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
15,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
16,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
17,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
18,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
19,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
20,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
21,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
22,2,Отражение исторических гласных i ī,Отражение исторических гласных /ɪ iː/,Reflection of historical vowels /ɪ iː/,"i > i, iː > iː + i",[ɪ → ɪ]; [iː → iː / ɪ],[ɪ → ɪ]; [iː → iː / ɪ],,
